단어,빈도
예수천국,29
저걸,7
저새,7
쮸나,7
찬밥단,5
검수완박,5
생각함,4
국힘,4
뒷세대,3
땀병,3
의주빈,3
좆대남,2
웅챠,2
싱벙갤,2
거북유방,2
군캉스,2
꽈추,2
설정상,1
데뎃,1
쮼쮼,1
트타쿠,1
순수재미,1
무슨맘,1
실압근,1
과천자,1
보시라,1
스윗세대,1
세모왕,1
갓노,1
똥트남,1
어쩌자,1
흉내낼,1
털물,1
근처공장,1
좆찰,1
렉카유튜버,1
대깨윤,1
펨코남,1
퐁퐁남,1
못건,1
파란밥,1
막짤갑,1
올리지,1
정향돈,1
한정해,1
총기허용,1
누칼협,1
민좆당,1
착페죽페,1
증오선동,1
뷰자,1
투툴,1
대해서도,1
분탕충,1
동점골,1
펨코충,1
매국당,1
국힘원탑,1
노엘형,1
조질라,1
파라과,1
모르노,1
인칸,1
