단어,포함된 문장
무슨상황,"추가 조금 할게요회사 집만 왔다갔다 하던 사람이고 취미로 하는 운동도 첫째 둘째 데리고 다녔었어요 홀시어머니 계시는데 지금 상황들 의심되는 정황들 말씀드렸더니 니가 직접본게 뭐가 있는데 사람잡냐고 화내고 전화끊어버리네요애들 시댁에 데려다놓으면 다시 집앞에다 두고 갈 사람이고,그렇게 까지 하지 못하는 제일 큰 이유는 아이들에게 여기서 더 큰 상처주고싶지않아요.. 첫째둘째 초딩고학년이고 막내 늦둥이본거라 큰 아이들은 대충 무슨상황인지 눈치껏 알고 있어요통장내역은.. 공인인증서도 없고 그저 은행고객센터로 입출금기록만 확인하는거에요... 남편한테 생활비 받아 생활했고 그사람은 월급통장하나 공과금통장하나 달장 두개로 현금이나 체크카드만 사용했어요 제 앞에서는요...내일 변호사 만나러 갑니다.. 아 그리고 사람아닌 개같은 인간은 셋째 낳고 수술했어요 아쉽게도 사생아로 빌빌기는 모습은 당장 볼일없겠어요아이들만 보고 버텨보겠습니다. 조언감사합니다....안녕하세요 아들만 셋 키우는 주부입니다...지금 제가 할 수 있는게 뭔지 어떻게 행동해야하는지 조언받고싶어서요..남편이 하루아침에 사라졌어요 전날까지 아무렇지도 않게 대화하고 사이좋았는데 연락도 없이 집에 안들어왔어요회사에 연락해보니 이미 퇴직금 월급 정산받아서 퇴사했다고 몰랐냐고 하더라구요 바로 가출신고부터 했는데 이 사람이 누구랑 연락하고 지내는지 누굴 만나고 다니는지 아는게 아무것도 없어서  통장입출금 내역부터 조회하니 여기저기 모르는 이름으로 백단위로 주고받고 현금이 생기면 다 뽑아가네요그러던 중 회사 사람한테 연락이 왔어요 퇴사 이틀전에 집에 일이 생겼다며 급하게 백만원을 빌려갔대요 언제 줄수있냐는데그때 핸드폰이 두개인걸 알았어요 퇴근하고 집에 오면 핸드폰 쳐다도 안보고 손도 안댓었는데 세컨폰이 있었네요애들 다 데려가라 이혼하자 하니 아무 연락없다가그냥 내가 다 데려가겠다 하니까 바로 연락왔어요언제 몇시에 법원에서 볼꺼냐고.. 애들문제고 집문제고 상의를 해야하니 집으로 오라고 했더니 서류야 법원에서 쓰면되고 상의할게 뭐가 있냐 집에 오라는게 이상하답니다 그 말에 뭔가 쎄해서 통장내역 다시 보니 돈이 20,30씩 들어와요 그와중에  어제 강남가서 일본식 파스타 먹었네요 ㅋ 여자 옷가게에서 옷도 사고..  그동안 도박만 의심중이였는데 외도까지 하는 모양이에요변호사상담신청은 해뒀는데 도박이던 외도던심증만 있고 물증이 없는상태라 소송해봐야 이혼소송일테고협의이혼을 하자니 쓰레기에게 날개를 달아주는 꼴이라 싫고지금 판단이 안서는 상황이에요 폰도 남의 명의 차도 없어 집도 전세 재산나눌것도 당연없고그저 양육비랑 집 문제로 얘기하려는건데 뭐가 이상한걸까요이혼하게 되면 친정부모님께 도움받을수있는 여건이라 부모님은 돈 걱정 집 걱정은 하지 말라시는데 지금 행동이 괘씸해서라도 뜻대로 해주지말아라 애들 데리고 이혼해준다하니 마음 급한거다 하시네요벌써 집나간지 2주째고 막내가 겨우 6개월인데 그동안 나한테 애들한테 뻔뻔하게 행동하던 모습들이 생각나서 화가 치밀었다가 그 감정마저도 아까워 차분해졌다가 왔다갔다합니다  제가 지금 당장 뭘 해야할까요"
무슨수," 지금 당장 애들 데꼬 오실거 없어요. 보아하니 큰애가 사춘기 중.고딩도 아니고, 그냥 시댁에 보내세요. 그런다음 이혼 유책 관련 증거 자료 모으시면서 변호사랑 상담하세요. 그 시키 분명 지네 집으로 갑니다. 왜냐면 엄마가 곧 쓰러지시기 일보 직전이거든요. 그리고 상간녀 보거든 애들도 다 책임져야 하시는거 아냐고 말하세요. 갸네들 물어뜯고 싸울겁니다. 어차피 금전적으로도 큰 기대할수도 없는데 애셋 양육비는 주겠어요?  문앞에 이 집은 복잡한 집이니 거래시 전화요망한다고 붙여놓으세요. 법적책임을 물을거라 하세요. 그리고 사진으로도 찍어 놓고요. 우아하게 이혼할 생각 마세요. 그여자랑 헤어지고 온다해도 미련하게 받아주지 마세요.이혼 하시고 애들은 데려와도 늦지않아요. 무슨수로 그들이 여아도 아닌 남자애 셋을 키워요. 시엄니부터 죽을라해서 님한테 전화걸어 별소릴 다할겁니다. 그러면 그때 다시 친권포기 하는걸로 하고 데리고 오시면 됩니다. 여유있는 친정집이신게 천만다행이신줄 아시고 꼭 친권포기 받으세요. 그래야 먼훗날 아들들 삶에 도움돼요. 우아하고 좋은 이혼은 없어요."
무시당," 저 남자와 결혼하려는 쓰니가 흔히 말하는 남미새임..남자한테 미쳐서 돈가져다 주면서 친정무시당하고, 본인은 대접도 못받고.."
무시당,"남자친구는 성실하고 키도 크고 착한 사람입니다.중견기업에 재직 중이고, 월 320에 상여금은 따로 있습니다.정말 좋은 사람이구요, 제 결정을 존중해 줍니다. 바보같이 착하기만 한건 아니구요. 친구들 사이에서 무시당하지 않습니다. 어른도 공경할 줄 알고 예의 바르고 옆에 있으면 행복해요. 사실 남친이 워낙 좋은 사람이다보니 싸울 일이 없어요. 그런데 부모님은 남친과의 결혼을 반대하십니다. 남친 집안과 저의 집안이 차이가 나거든요.남친 부모님은 중국집을 하십니다. 그마저도 월세라 집주인이 조만간 나가라고 합니다. 다른 작은 가게를 하실지 잘 모르겠습니다. 누나가 있는데 누나와는 거의 연을 끊다시피 했구요. 남친 본가는 흙집이라 제가 인사를 가도 들어갈 수 있을지 모르겠네요.. 남친 부모님께 결혼할 때 도움은 하나도 받지 못합니다.저희 집은 아버지 어머니가 전문직이고 저는 강사 동생은 의사입니다. 현금 자산 15억정도 있습니다. 투자는 아버지가 차차 하신다고 합니다.부모님은 평생 편하게 살 수 있는 집에서 선이 많이 들어오는데 왜 남자친구랑 결혼 하려 하냐고 반대하십니다. 제가 남자친구와 결혼하면 불행할까요?? 남자친구는 5년만 기다려주면 본인이 1억 모으겠다고 합니다. 그리고 열심히 사업을 구상해서 편하게 살 수 있도록 해준다고 합니다. 결혼은 현실이라는데 아버지가 주선해준 선자리에 나가야 할 지, 남자친구를 믿고 기다려야 하는지 모르겠습니다.. 사귄지는 3년 됐습니다. 경험 많으신 결시친님들 조언 부탁드립니다."
미친정권,이동관은 어떻고? ㅋㅋ  미친정권이라고밖엔..
바람피,돌이켜 생각해보고 말씀하시는지... 본인이 남편에게 소홀한건없는지.. 여자들은 꼭 여자가 바람피면 남자가 소홀했니 뭐니 외롭게 놔뒀니 이러면서 남자가 이러면 그저 남자욕하더라
바람피,성인 ADHD로 핑계 대는데 다른 건 몰라도 아이한테 하는 거 보고 저 여자는 대책이 없구나 생각했음. 남자가 지금까지 어떻게 참고 살았는지 신기할 정도. 나 같으면 저런 여자와 살면 암 걸려 죽을 거 같음. 새벽까지 게임하고 오전내내 자느라 아이 어린이집도 안보내는 사람이면 문제가 심각한 거 아닌가? 차라리 바람피우면 이혼이라도 쉽지. 저런 사람은 진짜 환장하는거야
바람피,두분 바람펴서 이혼한거아닌가요?  전 어째 그래보이네요 전남편이 바람피운거알게되고 애두고 나가라한거아님?
발레코어룩,발레코어룩이 유행이람서
발레코어룩,요즘 발레코어룩 유행이라길래 외국언니들 코디 찾아보니까한번쯤 해보고싶어서 따라해봤어..^^신발끈 대신 리본으로 묶어봤는데약간 요런 느낌 리본이랑 신발이랑 깔 맞춤 해봤는데 어뗘?  
방탄수저,회사인맥 소속사에서 초청으로 넣어준거 부정 할 필요있음?걍 소속사 드간거 자체가 잘한거잖아 그리고 방탄수저나 소속사 빨 인정하면 맘 편한데
방탄코인, 방탄코인 타고싶은가 굳이 남돌친분자랑 ㅉ
방탄코인,방탄코인 타고싶은가 굳이 남돌친분자랑 ㅉ
방탄코인, 방탄코인 타고싶은가 굳이 남돌친분자랑 ㅉ
방탄코인, 방탄코인 타고싶은가 굳이 남돌친분자랑 ㅉ
버님,남편이바보네요.그냥 쌩까세요~자꾸 화내고 예민하게 굴면시댁에서는 더 난리쳐요.그냥 아네네^^아버님 돈이 없네요^^ 웃으면서넘기세요아버님이 키워주실래요^^ 라고웃으면서 반박. 조곤조곤하게.자꾸 화내고 무조건 안된다는거 보단조곤조곤 하게 아버님 저희가 돈이 없어요~그리고 신랑이 성별 정하는거라저한테 더이상 말씀 안하셨음 좋겠다고얘기하세요그래도 난리친다면반품 하겠다고 하셔요~
버님,심각하게 고민만해요 눈에는눈 이에는이로 님도 똑같이 하면되죠 매일같이 남편벌이로는 애 하나도 키우기 힘들어요 제친구네 시댁은 결혼할때 서울시내 30평대 아파트를 사주시고 차도 얼마전 뽑아주시고 그것도 모자라 자식이 힘들게 남에게 굽신거리지 말고 소신껏 당당하게 사회생활하라고 당장 퇴직해도 되도록 월세 700나오는 상가도 사주셨다고 해요 아버님도 그정도 까지는 해주실 능력이 없겠지만 당장 아파트 대출금 3억좀 갚아두시면 저도 생각해볼께요 자동응답기 처럼 매일같이 말하세요
버님,예전에도 자상하고 친구같은 아버지들도 많았겠지만 육아는 엄마 몫으로 남겨뒀던 시대였잖아요. 쓰니님도 위에 적은것처럼 아버님은 돈버느라 바쁘셨고 그게 가족을 위한 길이라고 생각하셨을 거예요. 그렇게 교육받기도 하셨구요. 이미 지난간 일을 돌이켜봐야 아무런 해결책은 없어요. 그럴수밖에 없던걸 인정하시고 쓰니님 본인이 자상한 부모가 되도록하세요.
버님, 한번 대놓고 젓가락으로 털 집으며 어머니 이거 머리카락 아닌것 같은데 이게 음식 곳곳에 있어요! 여기도요! 어머님 아버님 직모시잖아요! 전 머리 묶었고 이 사람도 직모고요! 라고 얘기 해줘야 신경써서 음식을 하든지 음식 차려주려고 안하던지 할거예요.
버님,저희는 남편이랑 아주버님이 그려 해놓고 이야기 안꺼내요.  어차피 본인들 돈 아까워서 자식돈으로 가고싶어하시는데 자식들이 적극적이지않으니까 맨날 말만 나오고 실행안함. 저 결혼전에 아주버님네가 시부모님 모시고 여행다녀왔었는데 장남이라 잘하려고 노력하시는분인데도 그뒤로 여행이야기 나오면 진절머리치시더라구요.  시어머니 혼자 만족한 여행이었음.
버님,댓글이 없을 줄 알았는데 댓글 달아주셔서 감사합니다결혼할때 시부모께서 지원 일절 없으셨어요제가 눈치보는 이유는 만날때마다 남들 신경쓰고 예의중요시하게 생각하고 남 흉을 많이 보시는 시부모때문에저희 친정엄마께서 명절이나 무슨 날에 뭘 해주니이런거 부담스럽다고 하지말라고 괜히 주고도 욕먹고또 안해주면 안해준다고 욕한적이 있어서 ..얼마나 해드려야 욕을 안먹을까 고민했는데욕하는 사람은 뭘해도 욕한다는 댓글에 힘입어 엄마 홀로 50은 많은것 같고 20-30만원 정도로 할 생각입니다 다들 답변 감사합니다 !!! ————————————————————-안녕하세요저희 신랑 남동생이  다음달 곧 결혼을 하는데저희 친정엄마가 결혼식 초대 받으면사돈의 행사에 축의금을 얼마를 해드려야 좋을까요?저희엄마는 홀로 저를 키워서 혼자 벌어 혼자 사십니다~너무 큰 금액이면 친정엄마도 부담스러울수도 있으니제가 친정엄마께 제가 모아둔 돈을 드리려고 하거든요친정엄마가 시동생결혼식 오시면 축의금줄 돈을 제가 친정엄마께 드려서 이돈으로 축의금을 쓰시라 할려는데 얼마면 적당할까요? 그리고 남편의 할아버지도 90세에 곧 돌아가실려고 할랑말랑 병원에 입원중이시라 상도 곧 치르실거같은데미리 알면 좋을것 같아서 만약 할아버님께서 돌아가시면 저희 친정엄마가 부조?를 얼마드리면 좋을지요~? ㅠㅠ (저는 시할아버님께서 돌아가시길 바라지 않습니다 곧 돌아가실것 같다고 시부모님께서 말씀하시길래 .. ) 제가 결혼을 일찍해서 아직까지 20대에 외동이라 자랑은 아니지만 .. 모르는게 많고 물어볼 곳이 없어서 또한 친정엄마께서 홀로 노후준비도 하시고벌이가 좋지 않으셔서 저희 부부도 경제력이 좋지않아양가 부모님께 따로 용돈은 드리고 있지 않습니다제가 대신해서 제가 가진돈을 친정엄마께 드려서시댁의 행사때 축의금이든 부조든 보태서 내시라고 (저도 남편에게 눈치 보이지만)떳떳하게 제가 모아놨던 돈을 친정엄마께 드리려구요 그리고 저희 친정엄마가 시댁의 행사때마다 얼마를 해드려야  시댁어르신들이 섭섭해하지 않을지시부모님이 저희 친정엄마 욕하는 일 없도록 하기위해서요!이건 tmi지만 시부모님은 이웃이나 남욕을 그동안 제게 많이 하신 편이시라저나 저희친정엄마욕도 다른사람들에게 많이 했을거라생각이 들어서요 ..  남을 욕하면서 본인을 치켜세우는 그런 성향이시더라구요ㅜㅜ섭섭치 않게 챙겨드려야 할 것 같아서보통의 평균 금액이 궁금합니다~요즘은 얼마가 적당한지 적당한 금액을 좀 알려주세요~~!제가 상처를 많이 받는편이라 욕보다는 친한 동생이라 생각하시고 조언 부탁드립니다~~질문 하나에 글이 길었네요ㅠㅠㅠ 죄송합니다..
병크남,병크남들 좋아해주는 한녀들이 제일 문제임 ㄹㅇ 수준이 똑같은건지
병크남,바이럴인가 그것도 신인이... 병크남들 흐린눈하고 파고싶을 정도로 엄청 좋지는 않음
보넥,보넥도 찐비주얼 따로 있었음;;
보넥,난 이한이나 태산이 비주얼인줄 알았는데 찐은 성호였음얘가 ㄹㅇ분위기있게 잘생김 사진으로만 봤을땐 잘생긴건지 잘 모르는데 영상으로 보면 ㅈㄴ분위기 있고 전체적으로 이쁘게 생김계속 찾아보니까 음색 개좋고 생각보다 수줍은편인것 같음 ㅅㅂ근데 이런데에서 치인다...ㅅㅌㅊ인 남자가 말 별로 안하는데 수줍어하는모습을 보면 개같이 설렌다고...영상으로 보면 이런 느낌임(캡쳐가 잘 안되서ㅈㅅ)아무도 얘를 보넥도에서 언급을 안하길래 나라도 알려된다생각해서 올린다ㅅㅂ이런 나른고양이상존잘남돌은 알릴 필요가 있음...
보넥,보넥도 진~짜 잘생긴 애는 없는데 구멍이 없는 게 엄청 큰 장점같음 다들 ㅈㄴ 인기 많게 생김
보넥,보넥도는 비주얼 좋다 해서 일부러 찾아 봤는데 비주얼 운운은 아닌거 같다 소년판타진가 1등 했다고 설치다가 짤린 애.. 걔 보다는 봐줄만 한 정도네
보넥,갠적으로 보넥도 비주얼 얘네라고 생각함 
보넥,보넥도 바이럴좀 했으면 좋겠음 내가 보기에는 괜찮은데 바이럴을 너무 안함 ㅋㅋ
보넥,보넥더는 ㄹㅇ 비주얼없냐
보넥,보넥도가 지금은 라이즈에 밀려서 그렇지
보넥, 보넥도팬인데 비교안하고 글쓰면 안됨?우린 지금 충분히 행복하고 응원하고 있어
보넥, 보넥도 팬들은 라이즈 없이 영업을 못하나봐
보넥,어딜봐서 이 글이 라이즈랑 보넥도 비교하는글임? 라이즈에 대해 안 좋게 말한 부분이 없는데..? 음원성적이나 언급되는 것만 봐도 라이즈가 우세하긴한데 보넥도도 노래 좋으니까 더 뜰 거라는 뉘앙스잖아.. 라이즈랑 비교하면서 보넥도 후려치길래 보넥도 앞으로 더 잘 될거라고 쓴 건데
보넥,보넥도가 뭐임
보넥,굳이 비교하면서 칭찬하니까 반대가 달리지.. 이러면 보넥도만 욕 먹어
보넥,보넥도 팬들은 라이즈 없이 영업을 못하나봐
보넥,비교하니까 반대먹지 보넥도 응원하면 걍 보넥도만 언급해
보넥,진지하게 두그룹 팬도 두회사 소속 팬도 아닌데 애초에 그룹 사이즈가 다름ㅋㅋ 보넥도는 시간 지날수록 라이즈랑 격차 심해질걸
보넥,보넥도팬인데 비교안하고 글쓰면 안됨?우린 지금 충분히 행복하고 응원하고 있어
보넥더,보넥더는 ㄹㅇ 비주얼없냐
보넥도,보넥도 찐비주얼 따로 있었음;;
보넥도,난 이한이나 태산이 비주얼인줄 알았는데 찐은 성호였음얘가 ㄹㅇ분위기있게 잘생김 사진으로만 봤을땐 잘생긴건지 잘 모르는데 영상으로 보면 ㅈㄴ분위기 있고 전체적으로 이쁘게 생김계속 찾아보니까 음색 개좋고 생각보다 수줍은편인것 같음 ㅅㅂ근데 이런데에서 치인다...ㅅㅌㅊ인 남자가 말 별로 안하는데 수줍어하는모습을 보면 개같이 설렌다고...영상으로 보면 이런 느낌임(캡쳐가 잘 안되서ㅈㅅ)아무도 얘를 보넥도에서 언급을 안하길래 나라도 알려된다생각해서 올린다ㅅㅂ이런 나른고양이상존잘남돌은 알릴 필요가 있음...
보넥도,보넥도 진~짜 잘생긴 애는 없는데 구멍이 없는 게 엄청 큰 장점같음 다들 ㅈㄴ 인기 많게 생김
보넥도,보넥도는 비주얼 좋다 해서 일부러 찾아 봤는데 비주얼 운운은 아닌거 같다 소년판타진가 1등 했다고 설치다가 짤린 애.. 걔 보다는 봐줄만 한 정도네
보넥도,갠적으로 보넥도 비주얼 얘네라고 생각함 
보넥도,보넥도 바이럴좀 했으면 좋겠음 내가 보기에는 괜찮은데 바이럴을 너무 안함 ㅋㅋ
보넥도,보넥도가 지금은 라이즈에 밀려서 그렇지
보넥도, 보넥도팬인데 비교안하고 글쓰면 안됨?우린 지금 충분히 행복하고 응원하고 있어
보넥도, 보넥도 팬들은 라이즈 없이 영업을 못하나봐
보넥도,어딜봐서 이 글이 라이즈랑 보넥도 비교하는글임? 라이즈에 대해 안 좋게 말한 부분이 없는데..? 음원성적이나 언급되는 것만 봐도 라이즈가 우세하긴한데 보넥도도 노래 좋으니까 더 뜰 거라는 뉘앙스잖아.. 라이즈랑 비교하면서 보넥도 후려치길래 보넥도 앞으로 더 잘 될거라고 쓴 건데
보넥도,보넥도가 뭐임
보넥도,굳이 비교하면서 칭찬하니까 반대가 달리지.. 이러면 보넥도만 욕 먹어
보넥도,보넥도 팬들은 라이즈 없이 영업을 못하나봐
보넥도,비교하니까 반대먹지 보넥도 응원하면 걍 보넥도만 언급해
보넥도,진지하게 두그룹 팬도 두회사 소속 팬도 아닌데 애초에 그룹 사이즈가 다름ㅋㅋ 보넥도는 시간 지날수록 라이즈랑 격차 심해질걸
보넥도,보넥도팬인데 비교안하고 글쓰면 안됨?우린 지금 충분히 행복하고 응원하고 있어
본교재,"수학 만큼은 n수 하면서 안 풀어본 문제집 거의 없음지금 수학 과외 중임 본인 등급대나 궁금한 거 있으면 댓글 달아줘 본문에 수정해서 다 알려줌1. 6등급에서 4등급대 ( 5등급 이하, 노베는 이거랑 커리 똑같음 )일단 개념이 엄청 매우 부족한 상태임 4등급은 주요 4점 다 틀려도 안정 4는 나오기 때문에 메가나 대성 선생님 한 명 골라서 기초 개념 강의 하나 듣고 본교재+서브교재 베이스 두면서 최근 5년치 교육청+평가원 모고에서 ""2~3점""짜리 문제만 푸는 걸 최소 2~3주 안에 끝내 그리고 바로 쎈 B단계 싹 다 풀고 수능 때까지 네가 인강 들었던 선생님의 기출문제집 사서 풀고 ""강의까지"" 다 들으셈 정리: 1. 수능기초개념인강 + 워크북 기본 베이스2. 최근 5년치 2~3점 문제 풀기3. 쎈 B단계4. 인강 기출문제집 사서 해설강의까지 듣기5. 시간 남으면 5년치  모고 9번 10번 11번 찍먹(개념인강은 다 들어도 다 들은 후에 거기에 있는 문제 최소 10번 이상 풀기+ 기출 문제집은 틀린 문제만 2번 회독하기)2. 개념을 많이 돌렸는데도 성적이 안 오를 때문제점은 딱 2가지로 나뉨 정말 개념만 돌렸거나 개념을 제대로 돌린 게 아님첫 번째 문제는 개념만으로 풀리는 문제는 거의 없음 개념+문제를 풀어봐야 머리 속에 지식이 쌓이는 거고 문제 ""푸는 법""을 알 수가 있는 거임 그래서 내가 위에 1번 커리에서도 개념책이랑 워크북을 같이 풀라고 한 이유가 그거임 개념만 들으면 문제 적용이 어렵기 때문에 그날 배운 개념을 복습하고 문제 푸는 법을 배우기 위해 워크북을 푸는 거임두 번째 문제는 아마도 가장 큰 문제는 회독을 제대로 돌리지 않았거나 인강을 듣기만 한 문제임 우리 머리는 상위 1퍼센트의 머리가 아닌 이상 한 번 배우고 일주일 뒤면 다 까먹는 게 정상임 한 번으로 그칠 게 아니라 계속 된 반복을 통해서 공부해야 되는 거임 인강을 듣기만 한 케이스는 인강을 빨리 끝내야 된다는 생각 때문에 생각없이 인강을 듣는 거 일단 인강을 들으면서 강사가 하는 말 100퍼센트가 다 이해가 되어야 됨 왜 이런 식을 쓰고 이런 말을 하는지에 대해서 네가 생각해보고 깨닫는 시간이 있어야 네 머리 속으로 지식이 습득 되는 거3. 3점짜린 다 풀리는데 주요 4점 들어갈 때부터 막히는 케이스이런 케이스는 99.9% 문제를 많이 안 풀어본 친구들임 일단 4점 문제는 개념으로만 풀리는 문제가 절대로 아님 문제 속에 숨겨진 조건+개념을 통해서 풀이를 쓰는 과정이기 때문에 기출 문제를 굉장히 많이 풀어보면서 접근 방법을 아는 것이 좋음그 방법을 알려주자면 4점짜리 문제를 읽어보면서 이 문장은 어떠한 개념과 조건을 포함하는 걸까?? ex)이차함수 f(x)가 있다 |f(x)|가 f(1)=0이고 절댓값 |f(x)|가 실수 전체 집합에서 미분가능하다.문제 해석: 절댓값 함수에서 함숫값이 0이 될 때는 접할 때가 아니면 좌미분계수와 우미분계수가 다르기 때문에 (미분가능성의 정의) 미분가능하지가 않다 그렇다면 함숫값이 0일 때 x축에 접해야 좌미분계수와 우미분계수가 같기 때문에 f(x)는 x=1에서 중근을 가지겠구나라는 식으로 숨겨진 조건을 찾아내는 연습을 해야 됨 한마디로 공식적용만 하려고 하지말고 문제를 보고 내가 어떻게 접근을 해야 될까에 포커스를 맞추고 문제를 대해야 함4. 기출 해설 강의가 왜 중요한가?우리가 수능 공부를 할 때 가장 중요한 게 뭘까?바로 기출문제임 실제 평가원이 문제를 어떤 식으로 내는지 알 수가 있기 때문임근데 4등급 이하의 학생들한테 강의까지 들으라고 한 이유는 따로 있음일단 1~2등급 학생들은 이미 기출을 끝낸 것도 있지만 수학공부를 열심히 했다고 할 수 있기에 이미 머리 속에 알고리즘처럼 이러한 조건에서는 이런 풀이법을 쓴다는 메커니즘이 박혀있는 상태임 근데 그 이하로는 그게 전혀 없다고 보면 됨 그냥 공식적용... 이 문장이 뭘 뜻하는 거지...? 라는 생각만 한다는 거지 근데 해설지에서는 그런 말을 하나도 해주지 않음 그냥 풀이만 해주지 근데 강의는 일단 강사들이 강의에서는 이런 문제에서 해야 될 생각 적용되는 공식들을 설명해주고 따로 필기까지 해줌 또한 하나의 풀이방식이 아닌 여러가지 풀이방식을 알려주면서 네가 비슷한 문제를 만났을 때 풀 수 있는 방법을 여러가지로 알려준다는 거임 따라서 4등급 이하의 학생들은 시간이 걸려도 기출문제집을 풀면서 모든 문제를 모두 강의를 듣고 완벽하게 이해를 해내는 걸 수능 전까지의 목표로 잡으면 돼 "
비틱질,그럼 못생긴 여자로 살래? 비틱질 오지네 ㅋ
산독기독기,산독기독기야~
살식,살식적으로 본인이 올렸을리 있겠냐 설령 그랬더라도 댓글 반응 보고 겁먹고 내리지얘 엿맥일라고 글 올린 년은 인과응보 받아라..
삼천명,이걸 만 삼천명이 봤네
설정상,얘 만화 설정상 키가 계속 안자란다고 함ㅋㅋㅋㅋㅋㅋ
성격차,성격차이아님??외모 관계없이 관심받는거 싫어하는 성격이면 관심받을 때 스트레스 받아하고 아닌 사람들은 즐기고...근데 예쁜사람한테 좀 더 관심 집중되는건 사실이라서 내형적인 사람들은 스트레스 받을듯 나도 전직장 다녔을때 여자상사나 동료 한명이 나 혼자 사적인 얘기 안하는거 이상하게 생각함 밑에 현장언니들이 더 편해서 현장언니들이랑 더 많이 어울린건데 ㅋㅋ
성쇼,ㅠㅠ 단체콘 가기 전부터 갑자기 양양이 얼굴이 눈에 들어오더니 단체콘 다녀온 후로 짱 좋아짐 ㅠㅠ 콘서트에서 보여주려고 팬들이 좋아하는 핑크머리로 염색한 것도 기특하구 했는데 완전 따듯한 사람이었구나ㅠㅠㅠㅠ 양양이도 성쇼도 행복만 하렴 ㅠㅠㅠ
슈취타, 9/10 런닝맨 9/11 슈취타 9/14 엠카 9/18 CDTV 라이브라이브  모든 스케줄 많관부 
슈취타,뷔악개아줌마들 조카 웃기너ㅋㅋㅋㅋ슈취타는 다른멤때도 그렇고 다른 연예인 게스트들도 죄다 얼굴 안나오게 예고 내보내는데 ㅈ도 모르면서 예의따지고 공방 추첨도 그룹때나 개인때나 멤버쉽 똑같이 다 진행했는데 왜절해ㅋㅋㅋ 아줌마들이라 지 최애 유툽 컨텐츠 나오는것도 아이돌들 많이 출연하는 컨텐츠인것도 모르고 마플타더니 대박이네ㅋㅋ 
슈취타, 9/10 런닝맨 9/11 슈취타 9/14 엠카 9/18 CDTV 라이브라이브  모든 스케줄 많관부 
슈취타,지디컴백하면 슈취타 나올수 있겠다
스껄,스껄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
스껄,스껄이 ㅈㄴ 웃기네
스포티파,8월 30일인 지난주 수요일 올해 남돌 최초로 멜론 일간1위 찍고 오늘 드디어 남돌 최초로 멜론 주간 1위까지 함더 대단한건 스포티파이 차트는 어제부로 50일째 전세계 1위중남돌이 솔로로 이정도까지 국내외로 대중성 + 팬덤까지 다 잡은게 정말 대단하고 놀랍다 역시 방탄 메보는 메보구나 ㅊㅋㅊㅋ
스포티파,정국이 솔로 나오기 전 ㅡ> 정국 개인 실력은 없더라 다 그룹빨 운빨 ㅡ> 발매첫날 전세계 스포티파이 역사상 2번째로 최다 스트리밍된 가수됨 ㅡ> 방탄 원래 국내는 해외보다 인기없더만 솔로로 나와봐야 멜론에서 20위도 못들지 ㅡ> 발매 11시간만에 올해 남녀돌 전체 2번째로 빠르게 탑백 1위 찍음 ㅡ> 빌보드 1위 딴멤도 했는데 못하면 방탄 메보로서 개망신 아님? ㅡ> 룰바껴서 공홈 다운 막히고도 빌보드 핫백 핫샷 1위함 ㅡ> 2주차부터 최대 폭락 핫백 광탈할껄? 전부 사재기 페이올라 하이브 광푸쉬 프로모자나 ㅡ> 6주째 핫백 30위권내 유지중ㅡ> 요즘 젤 핫한 라또 피쳐링빨이네 ㅡ> 라또 8월 신곡 차트아웃함 ㅡ> 아직도 멜론 일간 2위야? 대중성도 없네 일간 1위나 하고 떠들어 ㅡ> 10년만에 남자 솔로 최초 데뷔곡으로 일간 1위함 ㅡ> 일간 1위 꼴랑 하루? 기껏 찍먹하고 나가떨어지겠지 ㅡ> 주간 1위함 ㅋㅋㅋㅋ 진짜 정국 까들이 꿈꾸고 정국이가 다 이룬다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
스포티파,탑백인줄알았네 ㅂ ㅅ 무슨 스포티파이 바이럴차트 이딴 개듣보차트 들고와서 자랑하는꼴이네
실감나,로제한테 해외팬들이 천사같다고하는말이 찐으로 실감나는사진이다 ㅋㅋㅋ 갠적으로 난 생로랑 스타일 기괴해서 별로고 설화수랑 티파니앤코 스타일링이 좋음 생로랑은 뭔가 이상함 그 브랜드 특징인건 알겠는데 너무 노출심한 AI 컨셉같아서 정이안감 로제좀 예쁘게 해줬음좋겠어 생로랑 스타일링좀 바꾸지
실전개념,실전개념 강의 들은거야? 그거 들었으면 차분하게 첨부터 끝까지 회독하고 기출에 그 실전개념들 녹여서 풀어봐 글고 마지막에 잘 풀었는지 강의 들으면서 쌤 풀이랑 비교하고 뭐가 부족한지 보완하는 식으로 공부해보는건 어때
쓰니님,예전에도 자상하고 친구같은 아버지들도 많았겠지만 육아는 엄마 몫으로 남겨뒀던 시대였잖아요. 쓰니님도 위에 적은것처럼 아버님은 돈버느라 바쁘셨고 그게 가족을 위한 길이라고 생각하셨을 거예요. 그렇게 교육받기도 하셨구요. 이미 지난간 일을 돌이켜봐야 아무런 해결책은 없어요. 그럴수밖에 없던걸 인정하시고 쓰니님 본인이 자상한 부모가 되도록하세요.
