단어,포함된 문장
국힘,"제대로 찾아보지도 않고 또 민주당이 어쩌니 저쩌니.  진짜 답이 없고 이러니까 국힘같은 정당이 남아있는거다.  구하라법을 민주당 서영교 의원이 발의를 했고국회에 계류중인 이유가 기존 상속법 자체가 망가지는 리스크가 있어서 쉽사리통과를 못시키고 있는거다.  이런 하나하나 억울한 사례를 들어 법체계가 쉽게 바뀌면행정력이 어마어마하게 많이 드는 일이 발생을 하는거야.  그래서 시간이 걸리고 있고이재명이 반드시 통과를 시키겠다고 하고있는데 민주당이 어쩌니 ㅋㅋㅋ.자유민주주의 얘기하면서 국부를 이승만이라고 ㅋㅋ.  이승만 부정선거 독재하다가국민들에 의해 쫒겨났고, 박정희는 경제성장이라는 중요한 성과가 있지만자유민주주의와 완전 반대의 개념을 가진 사람이다.  헌법을 파괴시키고 유신헌법을새로만든 인간이 자유민주주의??  거기다 대통령 죽은 틈을 타서 군대 일으켜 쿠데타로 정권잡은 전두환, 그 전두환 친구 노태우, 또 거기에 붙은 김영삼의 뿌리를가진 국힘이 자유민주주의??  개가 웃겠다."
국힘,방탄에서 아버지가 국힘한테 와인받고 음치에 존못이고 문신 클럽 건보료 미납 부동산 투기하고도 욕 안먹는건 인기가 없어서야즉 뭔 짓을 해도 사람들이 ㅈㄴ 관심이 없단거고 결국에 지들이 팬도 많고 인기 있다고 주장하는 고릴라 무리들은 뷔 정국 화제성을 죽어도 못 넘음 실력도 마찬가지고ㅋㅋㅋㅋ하루종일 남 죽어라 까대는 니들이랑 니 최애는 꼭 불행해지길 바란다 정국이 까내린다고 니 최애가 절대 인기 많아지지 않음 오히려 팀 전체가 내려가지
국힘당,맨날 민주당 성범죄자 프레임 씌우다가 국힘당이나 윤석열은 찐으로 성범죄자편 들어주네
국힘당,저런사람이 후보라는데 민주당 국힘당이 무슨 상관이냐 이 나라좀먹는 무지성 국힘 지지자들아. 나도 굳이 민주당 지지안하지만 저런자가 후보라는데 민주당이 왜나오냐. 쌍팔년도에도 친구들한테 자리 하나씩 주는건 안했을듯.
군백기,첸 터지고 군백기되면서 자연스레 덕질도 멈췄는데.. 얘는 지가 깨버린 믿음을 몇배로 주려고 노력을 몇년동안 해왔던 앤데.. 괜히 인기멤이 아니야
그뭔씹,그뭔씹
기름지지,어릴땐 설화수 50 60라인이라 생각했는데30대인데 써보니까 개조음오히려 아이오페 이런게 기름지지 윤조라인은 깔끔함로제거 광고해서 쓰는건 아니지만할머니 브랜드라는 이미지는 많이 줄어든듯
끼린,자기 가족들이랑 여행 잘 안다녔나봐?ㅎㅎ 어머니가 계속 여행 타령 하시네에~ 자기가 모시고 한번 다녀와~ 난 그동안 좀 쉬든가 나도 울엄마아빠 모시고 다녀올겡 ^^ 이럼 끝.왜 남의 부모 뒤치닥거리까지 고민해야함. 이러니까 결혼을 안하려하지.평소에 지들끼린 여행 한번 안다니다가 며느리 들어오면 남들하는거 우리도 해보자고 용을 쓰드라.... 지겨와 K-시가
나사빠진사람,여자진짜..나도 여자지만 답답하고 모지리같더라 나사빠진사람이랑 왜살아….남자가 뭐라하니까 여자울때ㅋㅋㅋㅋㅋㅋㅋ지가 왜울어 남자가울어야지
남인생, 하하하 21살쳐먹고 인생타령하고 자빠졌네 인생은 그 누구도 모른다 부모도 모르는게 자식인생이다. 술집알바하다가 임신했던 친구가 애기 얼집보낼때쯤 본인이 술집차려서 대박날수도 있는게 인생이고 명문대다니던 친구가 졸업후 공시도전했다가 3-4년 날려먹고 볼품없는곳에 취직할수도 있는게 인생이야.니좁은 시야로 남인생 끝났다는둥 어설픈 훈수두지말고 니 할일이나 잘해
남인생,하하하 21살쳐먹고 인생타령하고 자빠졌네 인생은 그 누구도 모른다 부모도 모르는게 자식인생이다. 술집알바하다가 임신했던 친구가 애기 얼집보낼때쯤 본인이 술집차려서 대박날수도 있는게 인생이고 명문대다니던 친구가 졸업후 공시도전했다가 3-4년 날려먹고 볼품없는곳에 취직할수도 있는게 인생이야.니좁은 시야로 남인생 끝났다는둥 어설픈 훈수두지말고 니 할일이나 잘해
남자버전, __ 판녀들 채령은 몇년동안 조카 괴롭히더니 남자버전 채령은 착즙하네 채령한테 사과해라
내돌,이런글 안쓰면안돼? 내돌까지 어그로끌리는거 진짜 너무 싫어ㅠㅠ
내타입,넌 너무 내타입이야나한테 관심없는 사람 이렇게 좋아할수가 있나속상하다 
노성의,"저요저요. 제가 그거 아직도 당하고 살고 있어요. 그놈의 제사,가문 타령하면서 들들 볶아 결국에 우울증으로 처방받아약도 먹었구요. 아직도 손자있는 집만 차별하며 예뻐합니다. 남편이 한때 가스라이팅 당해 우리 셋째 가질까? 했는데 이건 아들을 생기면 남은 우리 딸들이 더 큰 고통이겠구나 눈에 뻔히 보이는 그림이더라구요. 왜 자기 손자가 있는데 우리한테 저럴까 했는데 그 손자가 만약 잘못되면 대가 끊어지니 우리에게서 여분으로 하나 더 만들고 싶은거였구요. 지금 제가나이가 많아지니 더이상 얘기는 안하는데, 아직도 눈에 보이는 차별과 비교와 무시를 시시때때하고 있어요. 남편이 아무리 쉴드쳐도 어차피 말도 안통하고, 대들면 ㅈㄹ을 해서 내가더 피곤하여, 술먹고 싫은 소리 하면 정말 얼굴에 완전 싫은 티를 내고 뭐라 하면 듣고 싶어하는 대답만 단답형으로 헤어질때까지 하며 버텨요. (시모가 제 눈치를 보게요) 저의 (정신)승리 방법은.. 나중에 제사에 참여/관여를 안하는거네요. 남편한테도 얘기하고 합의 봤어요. 그리고 시댁일에는 노성의, 노신경으로 대응하고 있습니다."
뉴세라핌,뉴세라핌
뉴진스,굿즈 포카 여러종 끼워팔아서 그걸 음반판매량으로 둔갑시키거잖아 시디는 1종만 발매하게 해야되고 굿즈 포카판매량 따로 집계해서 음반판매량에 포함 시키지말고음반판매량 = 포카 굿즈판매량이잖아시디는 1종만 취급해야함 법으로 규정좀 했으면 좋겠다데뷔한 신인이 100만장팔고 멤버 많은 남돌들 수십종 포카판매를 음반판매라고 500만장 언플하는것도 웃김비정상적인 음반판매로 둔갑시키지말고 1종으로 빨리 규정좀 정하자제베원 라이즈 에이티즈 아이브 스테이씨 시은 스키즈 세븐틴 있지 더보이즈 에스파 아이들 미연  비비지  블랙핑크 제니 로제 트레저 소미 뉴진스 르세라핌 카즈하 사쿠라 투바투 방탄 정국 뷔 진 지민  엔하이픈 권은비 최예나 이채연  
뉴진스,방탄 블핑 뉴진스 드디어 한자리에 모였다
뉴진스,"오늘 저녁에 프리즈 서울 2023 파라다이스 아트 페스타했는데 한테이블에 같이 앉음방탄은 뷔 블핑은 지수뉴진스는 민지,하니 참석했고 같은테이블에 이수혁하고 정호연도 같이 앉음ㅅㅊㅇ 방탄소년단 뷔 블랙핑크 지수 뉴진스 민지 하니"
뉴진스, 소위 월클들만 모이는데 뉴진스가 벌써 있다는게 신기하네 막내동생느낌으로 있는거같고 귀엽ㅋㅋㅋ
뉴진스,뉴진스는 진짜 소속사 잘 만나서 부럽다
뉴진스,하이브 많이 컷네 뉴진스는 뷔입김으로 초대받은거 같은데 파라다이스랑 친하기도 하고
뉴진스,같은 테이블인진 모르겠지만 저기 씨엘 지디 대성도 있었음 ㅋㅋㅋㅋ 빅뱅 투애니원 방탄 블핑 뉴진스
뉴진스,뉴진스랑 지수랑 대화 했으려나ㅋㅋㅋㅋ무슨 말 했을지 궁금하다ㅋㅋ나도 껴줘ㅠㅠㅠㅠ
뉴진스,태연 윤아 수지 아이유 등 a급 연옌들이 매번 하나같이 거르는 이유.. yg╋뷔 허세들의 모임 ㅋㅋㅋ 뉴진스는 걍 끼워넣기고 ㅋㅋㅋ
뉴진스," NCT 127, NCT DREAM, 스트레이키즈, 투바투, 엔하이픈, 에이티즈 뉴진스 ,엔믹스, 아이브, 르세라핌, ITZY, 에스파, (여자)아이들작년 모든 연말 라인업에 들어간 1군 13팀올해 연말 라인업도 저 13팀만 다 나올 듯 ㄹㅇ  성지글 "
뉴진스, 바이럴 작작좀 저기서 1군은 뉴진스 아이브 르세라핌 에스파로 끝임
