단어,포함된 문장
욱해,"+추가 댓글들이 다 진짜 제 얘기인 줄 아시는 것 같아서요..ㅠㅠ제 글 요점은 저런 가정으로 서로 얘기했을 때, 제가 저렇게 대답한게 정말 극단적이고 부정적인 사람이어서 그런가 하는 질문입니다..! -----------------------------------------일단 제목으로 어그로 끌어서 죄송합니다.제 일은 아니고, 얼마전에 남자친구랑 있는데 나온 얘기인데요.(2년 정도 교제/서로 결혼생각有)제 주변에 물어봐도 팔은 안으로 굽는다고 혹시나 제 편을 들어 준 것 아닐까 해서 객관적으로 제3자의 입장을 듣고 싶습니다.남자친구랑 함께 있는데 갑자기 저에게 어디서 영상을 하나 봤다면서 저에게 보여주더라고요.대충 '시댁에서 집을 해주면 비밀번호를 알려줘야 한다 vs 안된다' 에 대해 남녀가 토론하는 영상이었고요.그 영상속에 여자분이 약간 말을 세게 하기도 했고, 결정적으로, 영상 속 남자 한분이 좋은 환경에서 살고는 싶고 도리는 할 수 없는거냐 라는 질문에 여자분이  ""그럼 애 낳아주는거는요?"" 라고 한 질문에 이게 맞냐며 이해가 안된다고 하더라고요.저도 제 생각엔 여자분이 그렇게 말한건 잘못됐다고 생각해 그 부분은 동의했고,하지만 덧붙여 시댁에서 집을 해주면서 다짜고짜 비밀번호를 알려주라고 하는건 나도 기분이 나쁠 것 같다.혹시 시어머니 되실 분이 다른 이유가 있어 어쩔 수 없는 상황에서 비밀번호를 알려달라고 하신다면 알려 줄 순 있겠지만 내가 집을 해왔으니 비밀번호를 알려줘야 한다 라는 생각은 불편하다고 했습니다.도움 주신거에 감사함을 표하는건 여러 방법이 있다고 생각한다, 비밀번호를 알려주는건 상식에 벗어 나는 선인 것 같다 라고도 전했습니다.남자친구도 제 말을 듣고 고개를 끄덕이면서 그럴 수 있겠다 라며 얘기가 잘 끝나는 듯 했습니다.근데 제가  ""그런데 난 일단 처음부터 그렇게 말씀 하시는 예비시댁을 둔 남자와는 결혼할 생각이 없어질 것 같다."" 라고 말했고 그때부터 언쟁이 시작 됐습니다. 저렇게 말 한 이유는 저는 예비시댁에서 애초에 저런식의 생각을 하신거면 결혼 후 다른 부분에서도 문제가 있을 것 같단 선입견이 있었던 건 사실이고, 남자친구가 저런 말을 한 의도가 뭘까 싶어서 조금 더 단호하게 딱잘라 말한 것 같기도 합니다.남자친구는 저에게 너무 극단적인 것 아니냐며 예비시댁에서 저런 얘기를 꺼내면 이유를 물어보고 잘 조율해보면 되는거 아니냐, 그것만 듣고 그런 결혼은 안한다 라고 말하는건 부정적이고 극단적인 생각이랍니다.저도 자꾸 제가 부정적인 사람이라는 식으로 말하는 것 같아 약간 욱해서 저 - ""그건 너 생각이다. 너는 너고 나도 나만의 의견이 있으니 나는 내 생각과 의견을 말한 것 뿐이다. 그냥 그렇구나 하고 넘기면 되는거지 왜 굳이 나에게 부정적이다느니 그런말을 하느냐."" 남 - ""이런 얘기가 나오면 조율 할 생각은 안하고, 이래서 싫다. 그래서 결혼 못해. 이런식으로 말하는게 극단적이고 부정적인거다. 왜 그렇게 밖에 말을 못하는거냐""""그리고 너는 너고 나는 나다 라는 얘기를 왜 하는거냐. 너 말하는게 기분이 상한다.""(제가 좀 단호하고 세게 말하긴 했어요)뭐 대충 이렇게 다툰 것 같습니다.  저는 정말 궁금한게 조율? 해 볼 수 있죠.만약 실제로 그런일이 저에게 일어났을때 어른들 있는 자리에서 무작정 저 결혼 못합니다. 라고 얘기하며 자리 박차고 나오겠나요. 그치만 그냥 저에게 그런 얘기를 꺼내신 자체에 서운하고 찝찝하다 이겁니다.저도 제가 예민하고 피곤한 성격인건 알고 있습니다. 그치만 제가 그 자체가 싫어서 결혼 못하겠다는데 왜 제가 부정적인 사람인건지 모르겠더라구요..   물론 그 전부터 비슷한 부분으로 서로 서운함이 쌓였던 건 있어 서로 예민한 상황이었다고 생각합니다.설명하자면 너무 늘어지기에 생략 된 부분도 있지만, 저는 그냥 이 글만 읽었을때 제가 정말 부정적인거였나 궁금합니다..제가 잘못한 부분이 있으면 고치고 싶은 마음에 글 써봅니다..결혼하신 분들이나 아직 결혼을 안하셨더라도 조언 부탁드립니다..제가 정말 부정적이고 극단적인 사람인가요..?    "
울동생, 예전에 내동생이 방탄 빅히트구사옥 그 근처 회사에서 일했거든? 울동생이 방시혁은 ㅈㄴ 많이보고 방탄은 딱 한번 봤다는데 울동생이 뷔 진은 찐 잘생겼다함.. 아직도 내 동생은 뷔 진은 찐이라고 나한테 말함
원글,와 원글 뭔지도 모르는데 뿌뀨보고 ㅈㄴ 반가워서 후다닥 들어옴 ㅁㅊ 개오랜만이네
원밀리,"난 오히려 울플러가 탈락배틀 간 게 더 말 안 된다고 생각함 울플러 vs 원밀리언 보면 취향 차이지 둘 다 잘 했음 솔직히 츠바킬vs 베베는 누가봐도 베베가 훨씬 잘 했는데, 논란 생긴 게 더 의아함 프로그램 반영 후에 투표했어도 베베가 이길거라고 생각함"
원밀리,"미나명,구슬알릴려고 빌런 짓 한거면 성공!하지만 소름돋게 싫음!원밀리언보고 불쌍해 보인다 할때...ㅜ극혐!"
원밀리,마네퀸 - 윈터원밀리언 - 산다라박딥앤댑 - 신비 또 있나?
원밀리,와 방금 메가크루 보고왔는데 원밀리언 개소름 돋고...윈터 나와서 ㅈㄴ놀램 미쳤음 
원베,공동명의로 국평이상 원베일리를 주면 난 쌉가능. 방도 한칸 내어드리겠음.
인급,인급동19위!
인급,연예인들이야 본판이 화려하니 쌩얼도 청순하고 이쁜거고 본인이 연예인급 아니면 화장빨 안받는 이유 알만하지 않나 눈이 답답하거나 코가 콧대없이 길거나 모공 크고 피부가 거칠거나 애굣살이나 앞볼 볼륨 없이 얼굴 판판하거나 얼굴이 크고 얼굴형이 별로거나 그러면 좀 힘들긴함
인스스,아니 밑에 글만 봐도 어케 저렇게 차이날수가있냐내가 화장을 못하는건가화장한거랑 안한거랑 똑같단말임ㅈㄴ신기함+ 아니 댓글 너무 과민반응이라서 놀랐네…새벽에 화장 전후 올라왔던애보고 올린거였음원래 예쁜애가 자신의 단점 보완하고장점을 극대화해서 예쁘게 화장하는건당연히 사기가 아님ㅠㅠㅠ나도 생각해보니까 화장한거랑 안한거랑똑같진않음..ㅎㅎ새벽에 올라왔던애보다가 나보니까순간 어? 나정도면 화장 전후 똑같네ㅇㅇ이생각이였음ㅋㅋㅋㅋ새벽에 올라왔던애는 진짜 중국화장 전후 급으로화장 전은 내가 뭐라 평가하는건 좀 그러니까노코멘트할건데화장 후는 눈도 2~3배 이상 커지고 와 진짜 너무 예뻤어 인스스같았음ㅈㄴㅈㄴㅈㄴ 너무 예뻐져저게 가능한가? 싶어서 올린거였어ㅠㅠ 
잼리퍼블릭,유튜브 스우파 공식채널 댓글 츠바킬 징징댓글로 뒤덮인거 진짜 소름이네그것도 그거고 잼리퍼블릭 메가 크루 미션 한국에서 찍어서 불리하다니 지원이 부족하니 어쩌고 저쩌고 공평하지않다는말도하곸ㅋㅋㅋㅋㅋㅋㅋㅋ근데 오히려 외국팬들이 뉴질랜드에서 촬영한거고 잼리랑 로얄패밀리 수장 패리스고블이 커스틴이랑 선긋는거에 대해서 불만재기하던데 왜 한국인들만 한국탓 한국이 잘못이오 하는거냐 팩트체크도 안하고 그리고 무슨 아카넨이랑 커스틴이 너무 유명해서 스우파 나와서 이런 취급받을애들이 아니다 하는데 오히려 얻어간게 더 많아 커스틴도 아무리 잼리퍼블릭에 댄서로서 유명했어도 인스타 팔로워 40만도 안됐었어 일본도 엔터산업 썩은거 모름? 츠바킬 댄서들 원래부터 틱톡에 kpop 댄스 올리고 그랫는데 다 한국방송나온이유가있음 라트리스도 중국방송도 나왔었고 저스트절크댄스학원에서 강사도 햇을껄
잼리퍼블릭, 원밀 잼리퍼블릭 두팀 제일 잘함.  조회수도 넘사벽
저걸,축하해요!!!그나저나 저걸 또 주워다 살 여자가 있을텐데.. 참...미리부터 불쌍하다
저걸,당연히 싫을 수 잇음 그냥 취향이 많이 겹치는거라... 나도 돈까스 제육 좋아함 저번주에 돈까스 세번먹엇을정도로ㅋㅋ 난 저중에서 곱창 안좋아하고 친구는 떡볶이 안좋아하거든 메뉴 고를때 두개 제외하고 뭐먹을지 고민하지 와어떻게저걸싫어하지 ㅇㅈㄹ은 들어본적도 해본적도없음
저걸,저걸 보니 JYP가 제대로 된 사장이네 재범이때 빼곤
저걸,저걸로 언플할려고 준비중에 도망간건가?
저걸,애초에 남자가 저걸 왜 보여줬을까 ㅋㅋ너도 여기나온 여자냐? 하고 실험해볼라고 ㅋㅋ사상 떠 볼라고 ㅋㅋ님도 해봐요 똑같이 계속 시찌짓하는 유명한 글들 다 보여주고니생각어때 이건 어따이런분란 생기면 넌 어쩔꺼야?넌 중간역할 잘하니?넌 가정이루면 그 가정이 진짜 먼저야? 입발린말들 혼인전에 많이한다더라고~ 그럼 남자가 너 역시 그런여자냐 그런거나 보고 남혐있냐 막지랄할듯 ㅋㅋㅋ역지사지 해주세요~
저걸," 난 의상, 노래도 소름돋음 저걸 고를줄 몰랐음 의상도 저렇게 하니까 훨씬 더 안무 사는데다가 원밀 노래 투개월 김예림이 미스틱? 나오고 하고 싶은 거 한 음악이었는데 이게 뭐냐는 반응도 있었거든 무대는 괜찮은데ㅠㅠ 근데 저걸 찰떡같이 살림 동양풍에 잠깐나오는 산다라도 제격이고"
저걸,"난 의상, 노래도 소름돋음 저걸 고를줄 몰랐음 의상도 저렇게 하니까 훨씬 더 안무 사는데다가 원밀 노래 투개월 김예림이 미스틱? 나오고 하고 싶은 거 한 음악이었는데 이게 뭐냐는 반응도 있었거든 무대는 괜찮은데ㅠㅠ 근데 저걸 찰떡같이 살림 동양풍에 잠깐나오는 산다라도 제격이고"
제베원,  드디어 새걸그룹으로 다시 하시는듯피프티것들은 이젠 끝났고 착한애들로 잘 뽑으시길제베원 라이즈 에이티즈 아이브 스테이씨 시은 스키즈 세븐틴 있지 더보이즈 에스파 아이들 미연  비비지  블랙핑크 제니 로제 트레저 소미 뉴진스 르세라핌 카즈하 사쿠라 투바투 방탄 정국 뷔 진 지민  엔하이픈 권은비 최예나 이채연 
제베원,목소리도 걸걸하고 그냥 음치야 팬덤이 약해서 차트아웃 직전이던데 겨우 올라가고있는중블랙핑크 트와이스 레드벨벳 에스파 스테이씨 뉴진스 전소미 아이유 아이브 르세라핌 방탄소년단 엑소 엔시티 샤이니 세븐틴 투바투 제베원 라이즈 스키즈 더보이즈
제주변,나는1인 1메뉴가 식당의 매너라 보고 보통 그리하는데 님 주변이 이상 제주변에선 덜시키고 나눈적이 없어요 각 메뉴시키고 하나추가하지
짜증내,너무 답답하고 미치겠어서 이렇게 글씁니다남편 주야간해서 오로지 혼자 독박육아하는 와이프입니다지금 28개월 남아 키우고있구요 엄마들 모임나가면 ㅇㅇ엄마 진짜 힘들겠다 항상말하고 저도 그렇게 느끼고있어요 요근래 한 4주동안 몸이 너무아팟어요 계속열나고 기침하고목이 찢어질꺼같고.. 2주정도는 아들도 같이 아파서 잠도못잣구요 그때는 남편이 야간이라 제가 혼자봤어요 코로나검사도 3번했어요 다 음성 나왔구요 몸이 이렇게 아픈게 처음이라 진짜 너무 힘들고 지치더라구요 어제까지는 오한에 열까지나서 너무아팟는데오늘 많이 괜찮아져서 남편 퇴근하고 와서나 오빠방 가서 문닫고 영화한편 봐도 되냐고 물어봤더니 그렇게 하라고해서 문닫고 영화보고있는데 아이가 제가방에있는거 아는지 문열어달라고 하더라구요 그래서 문열어주고 남편이 들어와서 자기 퇴근하고 왔는데이렇게 문닫고 들어가서 영화보는건 좀 아닌거같다고 하더라구요 저는 그말듣는데 제가 너무화가나고 서러워서아랐어 안볼께 했어요  남편은 차라리 안방가서 누워있으라는데 ㅋㅋ하..누워있으면 애기가 와서 배위에서 점프하고 계속치대고 짜증내니깐 짜증낸다고 화를 내요남편 주야간일하고 일주일에 한번쉬어요 남편힘든것도 알아요 그래서 집안일 열심히 할려고 하구요 남편도 인정해요 저희아이가 진짜 힘들게하는 아이란거 제가 너무 이기적인가요 맨날 영화본다는것도 아니고오늘하루 너무지쳐서 혼자만에 시간좀 가지고싶다는건데..(남편혼자자고 아이는 제가 재워요 워낙 늦게자는아이라11시 12시에 자요 요즘 너무지치고 힘드네요 답답해 미치겠어요..추가-이렇게 댓글이 많이달릴줄 몰랐는데 쓴소리 감사합니다!아이는 어린이집다녀요! 항상 영화보고싶다 그런건아니고4주동안 아이 어린이집 보내면 집안일하고 거의 누워있었어요 제가 평소에는 그렇게 영화보고싶다..그런건아니에요..어제는 영화보면서 현실에서 잠깐 벗어나고싶단 그런생각한거같아요 아! 그리고 배도고팟어요.. 배고파서 더예민했던..애기재우고 밥먹고 남편한테 미안해서 남편한테 사과했습니다 ㅜ 저는 단지 영화를못보게한것보단 그냥 관심어린말?그런걸 바란거같아요ㅜ 그리고 어린이집보내고 엄마들만나는게 아니라 어린이집끝나면 맨날 집에만있기 미안해서 키즈카페 한번씩가는데 그때 단톡방에 엄마몇분 시간맞아서 본거였어요~ 그때처음 봤어요ㅜ 그리고 앞으로 독박육아라는 말은 쓰지않겠습니다많은 충고감사합니다! 아 그리고 4주동안 남편한테 아 너무아픈데 이번감기는ㅜ이런식으로 말하면 항상 나도 아프다 이렇게말해서 서운했었나봐요 ㅜ 그리고 저도 일하고싶습니다.....사정상 집에있는데 더 답답해요ㅜ 빨리돈벌고싶고 돈도모으고싶고 ... 근데 내년에는 일할꺼같아요!내년까지 아니 앞으로~아이열심히 육아하겠습니다~~~육아하는 전업맘 일하시는 워킹맘 다들 화이팅하세요!추추가ㅜㅜ남편 야간할때는 일찍재우려해요ㅜ 주간할때 9시에 집와서씻고 뭐하고 열시에 아이 한시간 놀아주고 방에같이들어가서20분정도 같이있다 나가면 그때부터 아이가 자요ㅜㅜ이때아니면 아빠랑 같이있을시간이없어서..ㅜㅜㅜㅜㅜㅜ ㅜㅜ 
쫄아,마이들 뉴진스 아이브는 쫄아서 못건들이면서릇은 해볼만한가 겁나 깝침
추천수,추천수 봐라 ㅋㅋㅋㅋ ㅁㄱ 하라는 소리도 하나없이 추천박는 그 시녀들 수준 ㅋㅋㅋ 아무리 병풍이라도 이딴식으로 영업하니까 판 여신이라는 소릴 듣고 슴천지 소릴 듣는거임
추천조작,망왑퀴들 또 바이럴..ㅋㅋㅋㅋ 추천조작좀 작작해라
츠바킬,울플러랑 츠바킬이 탈락 후보라는게 조카 이상함;; 엠넷은 서바 짤거면 시스템 좀 공정하게 제대로 짰으면 좋겠음 ㅅㅂ 한두번도 아니고
츠바킬,유튜브 스우파 공식채널 댓글 츠바킬 징징댓글로 뒤덮인거 진짜 소름이네그것도 그거고 잼리퍼블릭 메가 크루 미션 한국에서 찍어서 불리하다니 지원이 부족하니 어쩌고 저쩌고 공평하지않다는말도하곸ㅋㅋㅋㅋㅋㅋㅋㅋ근데 오히려 외국팬들이 뉴질랜드에서 촬영한거고 잼리랑 로얄패밀리 수장 패리스고블이 커스틴이랑 선긋는거에 대해서 불만재기하던데 왜 한국인들만 한국탓 한국이 잘못이오 하는거냐 팩트체크도 안하고 그리고 무슨 아카넨이랑 커스틴이 너무 유명해서 스우파 나와서 이런 취급받을애들이 아니다 하는데 오히려 얻어간게 더 많아 커스틴도 아무리 잼리퍼블릭에 댄서로서 유명했어도 인스타 팔로워 40만도 안됐었어 일본도 엔터산업 썩은거 모름? 츠바킬 댄서들 원래부터 틱톡에 kpop 댄스 올리고 그랫는데 다 한국방송나온이유가있음 라트리스도 중국방송도 나왔었고 저스트절크댄스학원에서 강사도 햇을껄
츠바킬,“이건 궁예니까 반박시 니들 말이 다 맞음ㅇㅇ” 내 개인적인 의견인데 우리 집 잔치에 남의 집 애들이 우승하는 그림이 나오게 두겠음??엠넷이?ㅇㅇ 실력으로 보면 잼리vs츠바킬이 파이널 유력한데 외국 크루 2팀이나 파이널 가도록 절대 안둘듯 모니카가 케이팝 미션 공연 직후에 츠바킬한테 진심을 다해줘서 고맙다고 말할때부터 떨어지겠는데 싶었음 케이팝 미션은 베베가 츠바킬 안무까지 너무 잘 소화해서 이겨도 이상할게 없었는데 탈락 배틀은 베이비 슬릭님 제외하고 4 라운드에서 츠바킬이 이겨도 이상할게 없었음
츠바킬,아 ㅅㅂ 츠바킬팬들 보면서 일빠는 병인걸 확신함 그냥 일본가서 살아 명예일본인들아 누가봐도 어제 츠바킬이 질만했음 뭔 차별 당한거처럼 난리야
츠바킬,냉정하게 케이팝 미션으로만 따지면 츠바킬이 합이 잘 안 맞아서 제일 눈에 안 띄긴 했는데 종합적인 역량으로 따지면 딥앤댑이 탈락했어야 한다고 생각함 츠바킬 개개인 포텐이 너무 높았어서 아쉽다ㅠ
츠바킬,다음화에 리에하타 나오는 것도 그렇고 엠넷은 딱히 츠바킬 떨어뜨릴 생각 없었을 것 같은데?? 오히려 너무 일찍 떨어져서 당황했을 것 같은데 엠넷이 반일이라도 해서 떨어뜨린 것처럼 얘기하는 거 웃김ㅋㅋㅋ 엠넷만큼 친일적인 방송사가 어디있다구ㅋㅋㅋㅋ
츠바킬,"난 오히려 울플러가 탈락배틀 간 게 더 말 안 된다고 생각함 울플러 vs 원밀리언 보면 취향 차이지 둘 다 잘 했음 솔직히 츠바킬vs 베베는 누가봐도 베베가 훨씬 잘 했는데, 논란 생긴 게 더 의아함 프로그램 반영 후에 투표했어도 베베가 이길거라고 생각함"
츠바킬,엠넷 일부러 츠바킬 떨어진거 서사만들려구 츠바킬은 자만했고 베베는 열심히 한것처럼 편집한거봐ㅋㅋㅋ역시 암넷이야
츠바킬,이거 넷플같은 플랫폼으로 전세계 방영했으면 한국 ㅈㄴ욕먹을껄? 그리고 츠바킬팬들이 타팀까는게 아니라 그냥 다수가 상황을 부조리하다 그리 판단하는거야 이때싶 뭉뚱그려 비하하기는ㅋ
츠바킬,억빠들 개짜증남ㅅㅂ 츠바킬 그냥 누가봐도 아쉽게 떨어진 크루로 사람들한테 아쉽지만 좋은 이미지러 남아있었는데 억빠들때문에 츠바킬 지금 떨어진게 낫다 이런말 나옴ㅅㅂ
츠바킬,츠바킬 떨어진거 아쉬워마라. 한국크루가 일본프로그램 나갔어도 젤먼저 탈락이여.
츠바킬,츠바킬 빠가 아니라 정정당당하게 승부로 떨어진 느낌이 아니라 기준 ㅂㅅ 같이 해서 짜증남 방송만 봐도 입만털고 개거지같은 팀도 있는데 외국에서 봐도 텃새부리고 자국 팀들란테 베네핏 준것처럼 느껴질듯
츠바킬,일단 확실한건 울플로 진짜 개지루했음.. 이럴거면 더 독특한 무대 보여줬을 츠바킬 왜 떨어졌나 아쉽기도 ㅠㅠ
츠바킬,프라임킹즈도 탈락하고 별개로 메가크루 올라온것처럼 츠바킬도 따로 제작해서 개인 유투브에올라오면 좋겠음
츠바킬,나는 호감은바다 커스틴 츠바킬(레나 아카넨)비호감은 그 아줌마같이 생긴 욕심 개쩌는 팀ㅋㅋ싫음
츠바킬," 극호 잼, 바다,츠바킬 극비호 마네퀸"
츠바킬,마네퀸… 두더지가타ㅠㅠㅠㅠㅠㅠ베베태터 너무멋있음 츠바킬 다좋구ㅜㅜ
츠바킬,리아킴 커스틴 레드릭 레나 사야카 완전 극호들 츠바킬 떨어진구 눔물나 ㅠ
츠바킬,아니 츠바킬이 지금 떨어지는 게 말이 되냐고
츠바킬,진짜 말도 안 돼.....누가봐도 떨어질 실력이 아님 케이팝 미션 베베랑 붙고 방송 전에 유튜브로 평가해서 그렇지 츠바킬 케이팝 미션도 개잘했고 배틀도 잘했는데 하필 배틀 상대가 울플러.... 방송하고 공개되기만 했어도 츠바킬 탈락배틀은 안 갔음 걍 세상이 츠바킬을 억까함 난 츠바킬을 더 보고싶은데ㅜ 솔직히 모두가 생각하는 그 팀이 떨어지는 게 맞다고 생각함
츠바킬, 아니 애초에 츠바킬이 케팝 대결에서도 7등한 게 노어이임ㅜ 반응도 좋았고 솔직히 모두거 잘햤다고 생각햇는데ㅜ
츠바킬,케이팝 미션 너무 별로여서 오히려 츠바킬쪽이 결과 납득 못 하는 게 너무 의외였는데?!
츠바킬,솔직히 케이팝 미션 별로던데.. 방출 팀 결정할 때랑 안무 구간 짤 때는 츠바킬이 더 잘했는데 완성된 풀영상 보면 생각보다 별로였음
츠바킬,"츠바킬 잘했지만 순위나 점수로 봤을 때 바로 납득되던데..? 계급 미션에서도 레나 빼면 각 멤버들 눈에 띄게 잘하는 멤버 아무도 없었고, 케이팝 미션 때도 와 진기명기다.. 춤이 졸라 쎄다.. 하는 느낌 빼곤 뭐 없었음 당연히 잘하지만 케이팝 미션에는 좀 안 어울리는 느낌? 하필 또 베베랑 붙어서 그게 더 부각되기도 했고,, 앞선 미션까지만 보면 울플러가 떨어지는 게 맞을 수도 있겠는데 탈락을 배틀로 정하는 게 룰이니 배틀에 특화된 울플러가 남을 수밖에 ㅠ"
츠바킬,아니 애초에 츠바킬이 케팝 대결에서도 7등한 게 노어이임ㅜ 반응도 좋았고 솔직히 모두거 잘햤다고 생각햇는데ㅜ
츠바킬, 울플러는 저렇게 보여줄거면 왜 붙였는지 의문.. 츠바킬이였다면 어땠을까 하는 아쉬움이 큼. 울플러한테서 더이상 기대가 하나도 안 됨 이번 탈락배틀때도 별로.. 모니카 반응 보고 전혀 공감이 안 되더라
츠바킬,울플러는 저렇게 보여줄거면 왜 붙였는지 의문.. 츠바킬이였다면 어땠을까 하는 아쉬움이 큼. 울플러한테서 더이상 기대가 하나도 안 됨 이번 탈락배틀때도 별로.. 모니카 반응 보고 전혀 공감이 안 되더라
츠바킬,갑자기 바다 악플 늘어난 이유:바다가 키가 커서 키작남들의 열등감 건드림╋스우파2에 일뽕 많은데 츠바킬이 베베한테 져서 떨어지니까 억지부리는 거
탈락배틀,"난 오히려 울플러가 탈락배틀 간 게 더 말 안 된다고 생각함 울플러 vs 원밀리언 보면 취향 차이지 둘 다 잘 했음 솔직히 츠바킬vs 베베는 누가봐도 베베가 훨씬 잘 했는데, 논란 생긴 게 더 의아함 프로그램 반영 후에 투표했어도 베베가 이길거라고 생각함"
탈락배틀,진짜 말도 안 돼.....누가봐도 떨어질 실력이 아님 케이팝 미션 베베랑 붙고 방송 전에 유튜브로 평가해서 그렇지 츠바킬 케이팝 미션도 개잘했고 배틀도 잘했는데 하필 배틀 상대가 울플러.... 방송하고 공개되기만 했어도 츠바킬 탈락배틀은 안 갔음 걍 세상이 츠바킬을 억까함 난 츠바킬을 더 보고싶은데ㅜ 솔직히 모두가 생각하는 그 팀이 떨어지는 게 맞다고 생각함
탈락배틀, 울플러는 저렇게 보여줄거면 왜 붙였는지 의문.. 츠바킬이였다면 어땠을까 하는 아쉬움이 큼. 울플러한테서 더이상 기대가 하나도 안 됨 이번 탈락배틀때도 별로.. 모니카 반응 보고 전혀 공감이 안 되더라
탈락배틀,울플러는 저렇게 보여줄거면 왜 붙였는지 의문.. 츠바킬이였다면 어땠을까 하는 아쉬움이 큼. 울플러한테서 더이상 기대가 하나도 안 됨 이번 탈락배틀때도 별로.. 모니카 반응 보고 전혀 공감이 안 되더라
터사,기각됐으니 망정이지 법적 공방까지 갔으면 다른 엔터사들에서도 가만히 안있었을거임. 핍티가 이겼으면 한국 연예계 초토화 되는 게 기정 사실이라...
통수돌, 통수돌은 죽을때까지 위약금이나 갚길
통수돌, 댓글 한사람이 썼냐? 통수돌 쉴드 쩌네용
투바투,  드디어 새걸그룹으로 다시 하시는듯피프티것들은 이젠 끝났고 착한애들로 잘 뽑으시길제베원 라이즈 에이티즈 아이브 스테이씨 시은 스키즈 세븐틴 있지 더보이즈 에스파 아이들 미연  비비지  블랙핑크 제니 로제 트레저 소미 뉴진스 르세라핌 카즈하 사쿠라 투바투 방탄 정국 뷔 진 지민  엔하이픈 권은비 최예나 이채연 
투바투,투바투 스키즈 VMA
투바투,투바투랑 스키즈 둘다 상받은거 축하해  
투바투, 나 스테인데 스키즈 상 받을때 투바투 벌떡 일어나서 축하해주더라 괜히 내가 다 고맙고 서로 많이 의지도 되었을거같아 보기좋더라!! 둘다 흥하자
투바투, 투바투 스키즈 둘다 상받음 대박~~
투바투,투바투 코디 미국에선 저런게 먹히나
투바투,호랑이(방탄) 없는 곳에서 여우(스키즈&투바투)가 왕노릇 하는구나
투바투,팬도아닌것들이 유독 투바투스키즈 갈라치기 오짐얘넨 서로 리스펙하고 친하기까지한데 둘다 다른분위기로 매력이 다르고 무대볼맛남
투바투,투바투는 진짜 코디 갈아야겠다 얼굴이 다 함
투바투,목소리도 걸걸하고 그냥 음치야 팬덤이 약해서 차트아웃 직전이던데 겨우 올라가고있는중블랙핑크 트와이스 레드벨벳 에스파 스테이씨 뉴진스 전소미 아이유 아이브 르세라핌 방탄소년단 엑소 엔시티 샤이니 세븐틴 투바투 제베원 라이즈 스키즈 더보이즈
틀퀴,개못생긴 나봉퀴랑 지수를 엮네 틀퀴새기
티곡,배기진스 듣고 완전 이수만이 픽했을 엔시티곡 같다고 생각했는ㄷ데
파혼선언,나 결혼할때 생각남. 남편이름으로 자가있었고 빚없댔음. 그리고 이름있는 회사다니고 빚없이 자차 있댔음. 대신 홀시아버님 모시고 살아야한댔음. 노총각 아들 결혼 못보내서 걱정많은 아버님이었음. 남편보다 두살 연상분이 남편 보고 깐적있음...엄마가 주선자라 내가 내막을 살짝 알고있음.. 있을거 다 있으니까 빈손으로 와도 된댔음. 본인 9-6시까지 노인정에 있을거고 점심도 거기서 먹을거니까 신경쓸거 많이 없을거라했음. 전업해도 괜찮다고 했음. 그때 내가 일년 이상 놀고 있었음. 벌어논 돈도있었고 솔직히 외모가 좀 괜찮은 편이기도 했었음.  나는 성격도 좋아서 어르신 잘 모실수도 있다 생각했음. 선한번 봐볼까 해서 봤는데 외모는 진짜 내취향이 아니었지만 뭔가 성격이 잘맞는것 같았음. 그러고 바로 동거해봤음. 그때부터 헬이었음. 아버님이랑 그냥 안맞음. 노인정도 내려갔다가 바로올라오심ㅋㅋㅋ사건은 많았지만 결국 파혼선언하고 돌아섰는데 아버님이 자기 아들 결혼 못할까봐 포기하고 분가하심. 대출생김. 그리고 신혼 몇달동안 본인이 살던 집이니 며느리 혼자있는집에 오전에 막무가내로 문따고 들어옴...진짜 씻고있을때 그런적도있고 안방에서 몸말리고 있을때도 있어서 환장했던적이 있었음. 그때 당시엔 내집도 아니었었고 그래서 싫은소리 안했었는데 점점 노예 며느리 된듯 피빨아먹고 정신빨아먹고 그래서 몇번 손절침. 그래서 지금은 평소엔 연락안함. 참고로 친정 못살지 않음. 환경적이나 배움쪽이나 친정이월등함. 빈손으로 오라고 했지만 절대 안해가지도 않음. 많~~~이 해갔음. 대놓고 할말도 많음. 솔직히 비상용으로 번호 알려줄순 있지만....막 들이대면서 비번치고 들어오면 그냥 안살것 같음. 예의도 뭣도 없고...참고로 예전에 남편이 쉬는날에 사랑과전쟁보면서 일안하고 쉬고있는(?) 남편있었는데 와이프가 일나갔는데 장모님이 반찬싸들고오면서 문따고 막 들어오셨는데 사위가 소파에서 티비보면서 놀고있으니 맘에 안들어서 잔소리하고 먹은것좀 치우라고 잔소리하고ㅋㅋ그거보면서 출근하는 나한태 아!!!!저런 장모님이 있으면 같이 못살지!!!이래서ㅋㅋㅋ제가ㅋㅋㅋ그렇지????야.....!너네 아버지가 나한테 그랬어...이랬더니 한마디도 못하고 입꾹닫.
한국크루,츠바킬 떨어진거 아쉬워마라. 한국크루가 일본프로그램 나갔어도 젤먼저 탈락이여.
한사진,진짜 넘 예쁨 셀카도 되게 잘찍고 남이 찍어준 사진들도 다 잘나오고 포즈도 잘잡음 볼때마다 와 소리나옴 이둘은 상큼하고 되게 여사친 처럼나옴 암튼 내가 픽한사진 몇장만 올리고가께!!♡제일 좋아하는사진♡ 
