단어,포함된 문장
랜다, 일간 25위로 올라갔고 실시간 10위대까지 올라서 계속 정주행중인데 얘는 왜 24시간 다 들어가지도 않은 첫날 진입 순위를 올림?ㅋㅋㅋㅋ  화사가 음치랜다ㅋㅋㅋㅋㅋㅋ 
리더계급,솔직히 리더계급 춤 일반인이 추면 그 맛이 안 살더라..대중성 없다고 해야하나.. 라트라스가 만든 안무가  일반인이 춰도 쫀득하게 잘 만든거같음
리더계급,"마네퀸 음.. 처음엔 호도 비호도 아니였는데갖고 있는 실력들이 좋은데도 불구하고 우리가짱이야 우리만 돋보여야돼 이런 마인드로 미션해서 비호가 된듯 시즌1 라치카처럼 배틀러라고 욕심이 많아서 그렇다고 하는데 이게 배틀만하는 프로그램은 아니잖슴..? 계습미션에서 왁씨 윤지가 너무 노래에 찰떡인 좋은 안무를 짰음에도 불구하고 오드리빼고 나머지를 진짜 그냥 자신들 백업댄서로 만들어버려서 뮤비도 망한게 그 예임.. 다른 계급처럼 다들 파트 분배해줬으면 리더계급 정도 이슈됐을거같은데 케이팝미션도 뭐 이기고싶어서겠지만 마네퀸만 안무 갈아엎어버리고,, 메가크루도 립제이까진 딱 좋았는데 세라독무도 그렇고  뒤쪽은 게스트를 너무 많이 불러서 산으로 간 기분그냥 마네퀸만의 실력으로 제대로 한번 보여주는게 마네퀸한테 더 좋을듯!!"
리더계급,미나명 리더계급 리아킴 안무 평가할 때도 자기 감정 제외하고 딱 평가만 하더라 리아킴이 계속 실수하는 것도 비웃을만 한데 이유를 알아서 그런지 차분하게 지켜봐주는 느낌이었음..
립제,"마네퀸 음.. 처음엔 호도 비호도 아니였는데갖고 있는 실력들이 좋은데도 불구하고 우리가짱이야 우리만 돋보여야돼 이런 마인드로 미션해서 비호가 된듯 시즌1 라치카처럼 배틀러라고 욕심이 많아서 그렇다고 하는데 이게 배틀만하는 프로그램은 아니잖슴..? 계습미션에서 왁씨 윤지가 너무 노래에 찰떡인 좋은 안무를 짰음에도 불구하고 오드리빼고 나머지를 진짜 그냥 자신들 백업댄서로 만들어버려서 뮤비도 망한게 그 예임.. 다른 계급처럼 다들 파트 분배해줬으면 리더계급 정도 이슈됐을거같은데 케이팝미션도 뭐 이기고싶어서겠지만 마네퀸만 안무 갈아엎어버리고,, 메가크루도 립제이까진 딱 좋았는데 세라독무도 그렇고  뒤쪽은 게스트를 너무 많이 불러서 산으로 간 기분그냥 마네퀸만의 실력으로 제대로 한번 보여주는게 마네퀸한테 더 좋을듯!!"
립제, ㄹㅇ연예인그만써.. 댄서들이 주인공이라면서 연옌 ㅈㄴ부름 립제이까진 개좋았는데 ㅠ
립제,립제이는 그래도 잘 섭외한듯
립제,못생긴 립제이는 되고 예쁜 윈터는 ㅈ같다네~~~~~
립제,마네퀸이 제일 쩔더라 댄서들 매력 실력도 다 살렸고 립제이 부분은 강렬함은 윈터 부분은 신비로움을 보여줘서 적재적소에 잘 넣은거 같고 너무 좋았음
망왑퀴,망왑퀴들 또 바이럴..ㅋㅋㅋㅋ 추천조작좀 작작해라
백진실,더기버스 백진실 안성일 깜빵 가야함 ㄹㅇ전대표님 응원합니다
버님,우리 시어머닌 화학조미료안쓰신거에 자부심 뿜뿜이심^^맛소금도 안쓰심~~이번 설날 작은아주버님께서 시어머시께 음식 남는다고 우리한테 뭐라하지말고 제발 차례때라도 조미료 좀 쓰라고~ㅋㅋㅋ적당히 쓰면 맛 좋은 음식~올 추석엔 조미료 사놓으셨을랑가~~~
버님,나 결혼할때 생각남. 남편이름으로 자가있었고 빚없댔음. 그리고 이름있는 회사다니고 빚없이 자차 있댔음. 대신 홀시아버님 모시고 살아야한댔음. 노총각 아들 결혼 못보내서 걱정많은 아버님이었음. 남편보다 두살 연상분이 남편 보고 깐적있음...엄마가 주선자라 내가 내막을 살짝 알고있음.. 있을거 다 있으니까 빈손으로 와도 된댔음. 본인 9-6시까지 노인정에 있을거고 점심도 거기서 먹을거니까 신경쓸거 많이 없을거라했음. 전업해도 괜찮다고 했음. 그때 내가 일년 이상 놀고 있었음. 벌어논 돈도있었고 솔직히 외모가 좀 괜찮은 편이기도 했었음.  나는 성격도 좋아서 어르신 잘 모실수도 있다 생각했음. 선한번 봐볼까 해서 봤는데 외모는 진짜 내취향이 아니었지만 뭔가 성격이 잘맞는것 같았음. 그러고 바로 동거해봤음. 그때부터 헬이었음. 아버님이랑 그냥 안맞음. 노인정도 내려갔다가 바로올라오심ㅋㅋㅋ사건은 많았지만 결국 파혼선언하고 돌아섰는데 아버님이 자기 아들 결혼 못할까봐 포기하고 분가하심. 대출생김. 그리고 신혼 몇달동안 본인이 살던 집이니 며느리 혼자있는집에 오전에 막무가내로 문따고 들어옴...진짜 씻고있을때 그런적도있고 안방에서 몸말리고 있을때도 있어서 환장했던적이 있었음. 그때 당시엔 내집도 아니었었고 그래서 싫은소리 안했었는데 점점 노예 며느리 된듯 피빨아먹고 정신빨아먹고 그래서 몇번 손절침. 그래서 지금은 평소엔 연락안함. 참고로 친정 못살지 않음. 환경적이나 배움쪽이나 친정이월등함. 빈손으로 오라고 했지만 절대 안해가지도 않음. 많~~~이 해갔음. 대놓고 할말도 많음. 솔직히 비상용으로 번호 알려줄순 있지만....막 들이대면서 비번치고 들어오면 그냥 안살것 같음. 예의도 뭣도 없고...참고로 예전에 남편이 쉬는날에 사랑과전쟁보면서 일안하고 쉬고있는(?) 남편있었는데 와이프가 일나갔는데 장모님이 반찬싸들고오면서 문따고 막 들어오셨는데 사위가 소파에서 티비보면서 놀고있으니 맘에 안들어서 잔소리하고 먹은것좀 치우라고 잔소리하고ㅋㅋ그거보면서 출근하는 나한태 아!!!!저런 장모님이 있으면 같이 못살지!!!이래서ㅋㅋㅋ제가ㅋㅋㅋ그렇지????야.....!너네 아버지가 나한테 그랬어...이랬더니 한마디도 못하고 입꾹닫.
병크돌,병크돌이 잘못한거지ㅜ
생각함,냉정하게 케이팝 미션으로만 따지면 츠바킬이 합이 잘 안 맞아서 제일 눈에 안 띄긴 했는데 종합적인 역량으로 따지면 딥앤댑이 탈락했어야 한다고 생각함 츠바킬 개개인 포텐이 너무 높았어서 아쉽다ㅠ
생각함,"난 오히려 울플러가 탈락배틀 간 게 더 말 안 된다고 생각함 울플러 vs 원밀리언 보면 취향 차이지 둘 다 잘 했음 솔직히 츠바킬vs 베베는 누가봐도 베베가 훨씬 잘 했는데, 논란 생긴 게 더 의아함 프로그램 반영 후에 투표했어도 베베가 이길거라고 생각함"
생각함,난 바다랑 커스틴이 매력있다 생각함 근디 오드리가 호불호가 많이 갈리는거 같음...
생각함,남편 잘생김 상냥함 요리잘함 성격다맞춰줌 배려짱 돈잘범 든든함 24시간붙어있음 애교많음 해달란거다해줌 내말이면 법이라고생각함 돈많이써도신경안씀 지껀안사도내껀사줌 책임감강함 시집스트레스사전차단해둠 전 안갑니다 명절에도 남편이랑 친정집감ㅎㅎ 투자내맘대로해도 신경안씀 뭘해도 나를 믿어줌ㅎㅎ 출산은 내가원하는대로 할수있게 모든선택지를줌 애낳고싶으면 몸상하지말고 대리모쓰라할정도ㅋㅋㅋ 건강신경엄청써줌 밤일잘함
